destination,place_type_searched,place_id,place_name,formatted_address,latitude,longitude,rating,user_rating_count,price_level,google_maps_url,types
"Paris, France",night_club,ChIJiegK5OBx5kcR9t1Ycr1Bz1g,Caveau de la Huchette,"5 Rue de la Huchette, 75005 Paris, France",48.8527634,2.3462818,4.3,3867.0,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=6399405877439815158&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"night_club, bar, live_music_venue, event_venue, point_of_interest, establishment"
"Paris, France",night_club,ChIJVeiKGZNt5kcRkPH9S37Lnzg,La Bellevilloise,"19-21 Rue Boyer, 75020 Paris, France",48.8683511,2.3921569,4.3,6709.0,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=4080203530722210192&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"live_music_venue, night_club, performing_arts_theater, bar, event_venue, restaurant, food, point_of_interest, establishment"
"Paris, France",night_club,ChIJZYI0ygtu5kcRdYe6wVTkZDQ,Le Comptoir Général,"84 Quai de Jemmapes, 75010 Paris, France",48.872424099999996,2.3649709,4.2,6306.0,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=3775393440321931125&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"restaurant, tapas_restaurant, brunch_restaurant, lounge_bar, night_club, cocktail_bar, bar, food, point_of_interest, establishment"
"Paris, France",night_club,ChIJw7pLvsNv5kcRnYS9wwGfwsI,Girafe Restaurant,"1 Pl. du Trocadéro et du 11 Novembre, 75016 Paris, France",48.8630338,2.2885823,3.9,5535.0,,https://maps.google.com/?cid=14033954218767647901&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"french_restaurant, seafood_restaurant, lounge_bar, night_club, bar, restaurant, food, point_of_interest, establishment"
"Paris, France",night_club,ChIJ8YZwRM1t5kcRpoEqqdUe7Uo,La Gare - Le Gore,"1 Av. Corentin Cariou, 75019 Paris, France",48.895384400000005,2.3815138,4.3,3457.0,PRICE_LEVEL_INEXPENSIVE,https://maps.google.com/?cid=5399005431302095270&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"night_club, bar, live_music_venue, event_venue, restaurant, food, point_of_interest, establishment"
"Paris, France",night_club,ChIJ1cPjox5y5kcR82wAL_mSQd8,Rooftop Café Oz,"City of Fashion and Design, 34 Quai d'Austerlitz, 75013 Paris, France",48.840443799999996,2.3706403,4.0,9943.0,PRICE_LEVEL_EXPENSIVE,https://maps.google.com/?cid=16087300942877191411&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"bar, sports_bar, tapas_restaurant, night_club, pub, restaurant, food, point_of_interest, association_or_organization, establishment"
"Paris, France",night_club,ChIJt9VeXGRv5kcRA7kQ-xGju00,Bambini,"Palais De Tokyo, 13 Av. du Président Wilson, 75116 Paris, France",48.864586599999996,2.2966748000000003,3.7,4422.0,,https://maps.google.com/?cid=5601249859187292419&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"italian_restaurant, lounge_bar, night_club, pizza_restaurant, bar, restaurant, food, point_of_interest, establishment"
"Paris, France",night_club,ChIJp7wGa-xv5kcRHl_5cQQA_Ek,Le Duplex,"2 bis Av. Foch, 75116 Paris, France",48.8737755,2.2925044,2.5,3203.0,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=5331136077991862046&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"night_club, bar, point_of_interest, association_or_organization, establishment"
"Paris, France",night_club,ChIJ4yOuo4Bv5kcR902Emk_T2Y4,Gigi Paris,"15 Av. Montaigne, 75008 Paris, France",48.865706499999995,2.3031403999999998,3.8,4609.0,PRICE_LEVEL_VERY_EXPENSIVE,https://maps.google.com/?cid=10293490762180218359&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"italian_restaurant, lounge_bar, night_club, bar, restaurant, food, point_of_interest, establishment"
"Paris, France",lodging,ChIJwXZmLDVw5kcRIJ2dYURyo_w,Pullman Paris Montparnasse,"19 Rue du Commandant René Mouchotte, 75014 Paris, France",48.8384551,2.3203929999999997,4.8,16066.0,,https://maps.google.com/?cid=18204519756782738720&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"hotel, lodging, point_of_interest, establishment"
"Paris, France",lodging,ChIJQ9zqGSJw5kcRxXrv3IVGdrc,Pullman Paris Tour Eiffel,"18 Avenue De Suffren, 22 Rue Jean Rey Entrée Au, 75015 Paris, France",48.8556488,2.2928584,4.6,15816.0,,https://maps.google.com/?cid=13219831296943946437&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"hotel, lodging, point_of_interest, establishment"
"Paris, France",lodging,ChIJFSBjnt9t5kcRb33P22PJ-RE,Generator Paris,"9-11 Pl. du Colonel Fabien, 75010 Paris, France",48.878247599999995,2.3696032,4.1,9327.0,,https://maps.google.com/?cid=1295287798572481903&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"hostel, hotel, bar, cafe, lodging, restaurant, food, point_of_interest, establishment"
"Paris, France",lodging,ChIJVSOS5FBv5kcRmaCCdrMCfk4,Ritz Paris,"15 Pl. Vendôme, 75001 Paris, France",48.8680987,2.3288932,4.7,4515.0,PRICE_LEVEL_VERY_EXPENSIVE,https://maps.google.com/?cid=5655961151834595481&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"hotel, lodging, point_of_interest, establishment"
"Paris, France",lodging,ChIJH-R_1yJw5kcR5vQPk8C3W0Y,ibis Paris Tour Eiffel Cambronne 15ème,"2 Rue Cambronne, 75015 Paris, France",48.84705470000001,2.3013410999999997,3.8,6511.0,,https://maps.google.com/?cid=5069847843264525542&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"hotel, lodging, point_of_interest, establishment"
"Paris, France",lodging,ChIJq-4_FRZu5kcR3Y1uASNU3Uw,"The Hoxton, Paris","30-32 Rue du Sentier, 75002 Paris, France",48.8702063,2.3465669,4.4,4473.0,,https://maps.google.com/?cid=5538675626060189149&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"hotel, event_venue, lodging, point_of_interest, establishment"
"Paris, France",lodging,ChIJi8eScHJu5kcRcDlNvK6U4eM,St Christopher's Inn Paris - Gare du Nord,"5 Rue de Dunkerque, 75010 Paris, France",48.879261299999996,2.3582533,3.8,6046.0,,https://maps.google.com/?cid=16420569194573937008&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"hostel, hotel, lodging, point_of_interest, establishment"
"Paris, France",lodging,ChIJt4LY5C1u5kcRZmZx4KyzhVM,InterContinental Paris - Le Grand by IHG,"2 Rue Scribe, 75009 Paris, France",48.87023,2.32996,4.5,4400.0,,https://maps.google.com/?cid=6018414032131810918&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"hotel, convention_center, resort_hotel, massage_spa, wedding_venue, massage, spa, event_venue, lodging, restaurant, food, point_of_interest, service, establishment"
"Paris, France",lodging,ChIJjRraPPlx5kcRHCEo0fZXGmU,The People,"17 Bd Morland, 75004 Paris, France",48.8501827,2.3629827999999997,4.0,1813.0,,https://maps.google.com/?cid=7285232064807837980&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"hostel, lodging, point_of_interest, establishment"
"Paris, France",lodging,ChIJ9ez6Yr5x5kcRhgkwfPgnPwk,Paris Marriott Rive Gauche Hotel & Conference Center,"17 Bd Saint-Jacques, 75014 Paris, France",48.831854299999996,2.3399102,4.0,3735.0,,https://maps.google.com/?cid=666295218063018374&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"hotel, lodging, point_of_interest, establishment"
"Paris, France",tourist_attraction,ChIJLU7jZClu5kcR4PcOOO6p3I0,Eiffel Tower,"Av. Gustave Eiffel, 75007 Paris, France",48.858370099999995,2.2944812999999997,4.7,491872.0,,https://maps.google.com/?cid=10222232094831998944&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"historical_landmark, monument, tourist_attraction, historical_place, point_of_interest, establishment"
"Paris, France",tourist_attraction,ChIJD3uTd9hx5kcR1IQvGfr8dbk,Louvre Museum,"75001 Paris, France",48.8606111,2.337644,4.7,369403.0,,https://maps.google.com/?cid=13363865620386383060&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"art_museum, tourist_attraction, museum, point_of_interest, establishment"
"Paris, France",tourist_attraction,ChIJjx37cOxv5kcRPWQuEW5ntdk,Arc de Triomphe,"Pl. Charles de Gaulle, 75008 Paris, France",48.8737917,2.2950274999999998,4.7,293084.0,,https://maps.google.com/?cid=15687558599447307325&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"monument, cultural_landmark, tourist_attraction, museum, point_of_interest, establishment"
"Paris, France",tourist_attraction,ChIJATr1n-Fx5kcRjQb6q6cdQDY,Notre-Dame Cathedral of Paris,"6 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris, France",48.85296820000001,2.3499021,4.7,94436.0,,https://maps.google.com/?cid=3909157082539624077&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"tourist_attraction, church, place_of_worship, association_or_organization, point_of_interest, establishment"
"Paris, France",tourist_attraction,ChIJ442GNENu5kcRGYUrvgqHw88,Basilique du Sacré-Cœur de Montmartre,"35 Rue du Chevalier de la Barre, 75018 Paris, France",48.886704599999995,2.3431043,4.7,164481.0,,https://maps.google.com/?cid=14970958066519606553&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"monument, tourist_attraction, church, place_of_worship, association_or_organization, point_of_interest, establishment"
"Paris, France",tourist_attraction,ChIJG5Qwtitu5kcR2CNEsYy9cdA,Musée d'Orsay,"Esplanade Valéry Giscard d'Estaing, 75007 Paris, France",48.859961399999996,2.3265614,4.8,114575.0,,https://maps.google.com/?cid=15019994644224418776&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"art_museum, tourist_attraction, museum, point_of_interest, establishment"
